n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
2;16384;16384;estimate;0.0104701;48.1557;1.27229e+10;
2;16384;16384;estimate;0.0102053;47.9742;1.27229e+10;
2;16384;16384;estimate;0.0105904;48.1899;1.27229e+10;
2;16384;16384;estimate;0.00998327;48.3064;1.27229e+10;
2;16384;16384;estimate;0.0103931;48.4053;1.27229e+10;
2;16384;16384;estimate;0.0103416;47.9498;1.27229e+10;
2;16384;16384;estimate;0.010323;48.2438;1.27229e+10;
2;16384;16384;estimate;0.0103554;48.2842;1.27229e+10;
2;16384;16384;estimate;0.0104996;48.1785;1.27229e+10;
2;16384;16384;estimate;0.0104797;48.2305;1.27229e+10;
2;16384;16384;estimate;0.0104295;48.117;1.27229e+10;
2;16384;16384;estimate;0.0106438;48.2067;1.27229e+10;
2;16384;16384;estimate;0.0103776;48.1215;1.27229e+10;
2;16384;16384;estimate;0.0104653;48.2463;1.27229e+10;
4;16384;16384;estimate;0.0127788;26.0249;1.27229e+10;
4;16384;16384;estimate;0.0129937;26.0958;1.27229e+10;
4;16384;16384;estimate;0.0128228;26.2337;1.27229e+10;
4;16384;16384;estimate;0.0128164;26.1454;1.27229e+10;
4;16384;16384;estimate;0.0124386;26.1116;1.27229e+10;
4;16384;16384;estimate;0.0128746;26.0076;1.27229e+10;
4;16384;16384;estimate;0.0133292;26.2483;1.27229e+10;
4;16384;16384;estimate;0.0128492;26.0761;1.27229e+10;
4;16384;16384;estimate;0.012989;25.9664;1.27229e+10;
4;16384;16384;estimate;0.0129365;25.9229;1.27229e+10;
4;16384;16384;estimate;0.0136475;26.0759;1.27229e+10;
4;16384;16384;estimate;0.0129345;26.0154;1.27229e+10;
4;16384;16384;estimate;0.0128881;26.0547;1.27229e+10;
4;16384;16384;estimate;0.0128574;26.1507;1.27229e+10;
4;16384;16384;estimate;0.0128718;25.9537;1.27229e+10;
4;16384;16384;estimate;0.0128706;25.9414;1.27229e+10;
4;16384;16384;estimate;0.0127028;26.0975;1.27229e+10;
4;16384;16384;estimate;0.0128872;26.0106;1.27229e+10;
4;16384;16384;estimate;0.0125412;25.8619;1.27229e+10;
4;16384;16384;estimate;0.0128873;25.9369;1.27229e+10;
4;16384;16384;estimate;0.0127581;25.989;1.27229e+10;
4;16384;16384;estimate;0.0128844;25.8756;1.27229e+10;
4;16384;16384;estimate;0.0128314;26.226;1.27229e+10;
4;16384;16384;estimate;0.0131426;26.0547;1.27229e+10;
4;16384;16384;estimate;0.0136033;26.0858;1.27229e+10;
4;16384;16384;estimate;0.012838;26.2395;1.27229e+10;
4;16384;16384;estimate;0.0127956;25.9975;1.27229e+10;
4;16384;16384;estimate;0.0124799;25.9685;1.27229e+10;
4;16384;16384;estimate;0.0129643;26.0307;1.27229e+10;
4;16384;16384;estimate;0.0129234;26.0754;1.27229e+10;
4;16384;16384;estimate;0.0128828;25.9144;1.27229e+10;
4;16384;16384;estimate;0.0124744;26.1472;1.27229e+10;
4;16384;16384;estimate;0.0128768;26.08;1.27229e+10;
4;16384;16384;estimate;0.0127781;26.3544;1.27229e+10;
4;16384;16384;estimate;0.0128109;26.0227;1.27229e+10;
4;16384;16384;estimate;0.0125666;25.9879;1.27229e+10;
4;16384;16384;estimate;0.0125315;26.1218;1.27229e+10;
4;16384;16384;estimate;0.0132585;26.0699;1.27229e+10;
4;16384;16384;estimate;0.0128362;26.0578;1.27229e+10;
4;16384;16384;estimate;0.0128668;26.0227;1.27229e+10;
4;16384;16384;estimate;0.0127931;26.0071;1.27229e+10;
4;16384;16384;estimate;0.0129884;25.9784;1.27229e+10;
4;16384;16384;estimate;0.0128235;25.927;1.27229e+10;
4;16384;16384;estimate;0.0131391;25.9066;1.27229e+10;
4;16384;16384;estimate;0.0129376;25.9975;1.27229e+10;
4;16384;16384;estimate;0.012898;26.0729;1.27229e+10;
4;16384;16384;estimate;0.0137263;26.1104;1.27229e+10;
4;16384;16384;estimate;0.0125366;26.0163;1.27229e+10;
4;16384;16384;estimate;0.0128336;26.0606;1.27229e+10;
4;16384;16384;estimate;0.0129312;26.1128;1.27229e+10;
8;16384;16384;estimate;0.0150142;10.7282;1.27229e+10;
8;16384;16384;estimate;0.0145911;10.8625;1.27229e+10;
8;16384;16384;estimate;0.0151081;10.8655;1.27229e+10;
8;16384;16384;estimate;0.0144311;10.729;1.27229e+10;
8;16384;16384;estimate;0.0147892;10.8436;1.27229e+10;
8;16384;16384;estimate;0.0149035;10.8431;1.27229e+10;
8;16384;16384;estimate;0.014917;10.9995;1.27229e+10;
8;16384;16384;estimate;0.0149457;10.6427;1.27229e+10;
8;16384;16384;estimate;0.0148157;10.6977;1.27229e+10;
8;16384;16384;estimate;0.015084;10.6742;1.27229e+10;
8;16384;16384;estimate;0.0148192;10.6469;1.27229e+10;
8;16384;16384;estimate;0.0148931;10.7272;1.27229e+10;
8;16384;16384;estimate;0.0147476;10.5209;1.27229e+10;
8;16384;16384;estimate;0.0146003;10.6739;1.27229e+10;
8;16384;16384;estimate;0.014777;10.7967;1.27229e+10;
8;16384;16384;estimate;0.0146062;10.6329;1.27229e+10;
8;16384;16384;estimate;0.0148585;10.8176;1.27229e+10;
8;16384;16384;estimate;0.0151348;10.9653;1.27229e+10;
8;16384;16384;estimate;0.0148931;10.7196;1.27229e+10;
8;16384;16384;estimate;0.0149773;10.6978;1.27229e+10;
8;16384;16384;estimate;0.0148189;10.5644;1.27229e+10;
8;16384;16384;estimate;0.0149069;10.6652;1.27229e+10;
8;16384;16384;estimate;0.0149957;10.5567;1.27229e+10;
8;16384;16384;estimate;0.0147362;10.7526;1.27229e+10;
8;16384;16384;estimate;0.0147043;10.7767;1.27229e+10;
8;16384;16384;estimate;0.0145358;10.6591;1.27229e+10;
8;16384;16384;estimate;0.0149587;10.7668;1.27229e+10;
8;16384;16384;estimate;0.0149112;10.5752;1.27229e+10;
8;16384;16384;estimate;0.0148278;10.5715;1.27229e+10;
8;16384;16384;estimate;0.0152626;10.8008;1.27229e+10;
8;16384;16384;estimate;0.0144396;10.7849;1.27229e+10;
8;16384;16384;estimate;0.0150021;10.8655;1.27229e+10;
8;16384;16384;estimate;0.0154624;10.7329;1.27229e+10;
8;16384;16384;estimate;0.0148735;10.7371;1.27229e+10;
8;16384;16384;estimate;0.0148317;10.7206;1.27229e+10;
8;16384;16384;estimate;0.0149727;10.6647;1.27229e+10;
