n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
2;16384;16384;estimate;0.0100993;48.5934;1.27229e+10;
2;16384;16384;estimate;0.0102914;48.5157;1.27229e+10;
2;16384;16384;estimate;0.0102413;48.6173;1.27229e+10;
2;16384;16384;estimate;0.0100473;48.7338;1.27229e+10;
2;16384;16384;estimate;0.0103982;48.7128;1.27229e+10;
2;16384;16384;estimate;0.0103698;48.4131;1.27229e+10;
2;16384;16384;estimate;0.0102373;48.6394;1.27229e+10;
2;16384;16384;estimate;0.0106978;48.5747;1.27229e+10;
2;16384;16384;estimate;0.010762;48.7433;1.27229e+10;
2;16384;16384;estimate;0.0104979;48.687;1.27229e+10;
2;16384;16384;estimate;0.0104106;48.5562;1.27229e+10;
2;16384;16384;estimate;0.0104643;48.5861;1.27229e+10;
2;16384;16384;estimate;0.0105724;48.2645;1.27229e+10;
2;16384;16384;estimate;0.0102513;48.5213;1.27229e+10;
4;16384;16384;estimate;0.0126601;26.1963;1.27229e+10;
4;16384;16384;estimate;0.0127879;26.2735;1.27229e+10;
4;16384;16384;estimate;0.0127272;26.4737;1.27229e+10;
4;16384;16384;estimate;0.0128704;26.3235;1.27229e+10;
4;16384;16384;estimate;0.0129686;26.3801;1.27229e+10;
4;16384;16384;estimate;0.0126231;26.191;1.27229e+10;
4;16384;16384;estimate;0.0123719;26.3007;1.27229e+10;
4;16384;16384;estimate;0.012473;26.3592;1.27229e+10;
4;16384;16384;estimate;0.012776;26.293;1.27229e+10;
4;16384;16384;estimate;0.0123431;26.4999;1.27229e+10;
4;16384;16384;estimate;0.0127069;26.5616;1.27229e+10;
4;16384;16384;estimate;0.0130082;26.2077;1.27229e+10;
4;16384;16384;estimate;0.0127493;26.2269;1.27229e+10;
4;16384;16384;estimate;0.0123194;26.3101;1.27229e+10;
4;16384;16384;estimate;0.0128611;26.3466;1.27229e+10;
4;16384;16384;estimate;0.012264;26.4148;1.27229e+10;
4;16384;16384;estimate;0.0128116;26.3559;1.27229e+10;
4;16384;16384;estimate;0.0126685;26.2138;1.27229e+10;
4;16384;16384;estimate;0.0126423;26.2986;1.27229e+10;
4;16384;16384;estimate;0.0128039;26.3042;1.27229e+10;
4;16384;16384;estimate;0.0127691;26.2909;1.27229e+10;
4;16384;16384;estimate;0.0127318;26.2593;1.27229e+10;
4;16384;16384;estimate;0.012713;26.3375;1.27229e+10;
4;16384;16384;estimate;0.0127291;26.4148;1.27229e+10;
4;16384;16384;estimate;0.0127831;26.3362;1.27229e+10;
4;16384;16384;estimate;0.0126822;26.285;1.27229e+10;
4;16384;16384;estimate;0.0126551;26.2761;1.27229e+10;
4;16384;16384;estimate;0.0126337;26.4877;1.27229e+10;
4;16384;16384;estimate;0.0125637;26.4791;1.27229e+10;
4;16384;16384;estimate;0.0130575;26.3276;1.27229e+10;
4;16384;16384;estimate;0.0126907;26.4472;1.27229e+10;
4;16384;16384;estimate;0.0127502;26.1324;1.27229e+10;
4;16384;16384;estimate;0.0128478;26.3647;1.27229e+10;
4;16384;16384;estimate;0.0129619;26.2732;1.27229e+10;
4;16384;16384;estimate;0.0127454;26.3677;1.27229e+10;
4;16384;16384;estimate;0.0128702;26.4176;1.27229e+10;
4;16384;16384;estimate;0.0134088;26.318;1.27229e+10;
4;16384;16384;estimate;0.0127994;26.2619;1.27229e+10;
4;16384;16384;estimate;0.0127757;26.3494;1.27229e+10;
4;16384;16384;estimate;0.0128172;26.378;1.27229e+10;
4;16384;16384;estimate;0.0126835;26.4043;1.27229e+10;
4;16384;16384;estimate;0.0129375;26.3088;1.27229e+10;
4;16384;16384;estimate;0.0127735;26.2609;1.27229e+10;
4;16384;16384;estimate;0.0127919;26.3856;1.27229e+10;
4;16384;16384;estimate;0.0126554;26.5283;1.27229e+10;
4;16384;16384;estimate;0.0123488;26.4055;1.27229e+10;
4;16384;16384;estimate;0.0126701;26.3035;1.27229e+10;
4;16384;16384;estimate;0.0127644;26.3406;1.27229e+10;
4;16384;16384;estimate;0.01264;26.3825;1.27229e+10;
4;16384;16384;estimate;0.0126465;26.3387;1.27229e+10;
8;16384;16384;estimate;0.0148777;10.9901;1.27229e+10;
8;16384;16384;estimate;0.0150458;10.8719;1.27229e+10;
8;16384;16384;estimate;0.0148246;11.0231;1.27229e+10;
