n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
2;16384;16384;estimate;0.0104738;48.6451;1.27229e+10;
2;16384;16384;estimate;0.0104201;48.8813;1.27229e+10;
2;16384;16384;estimate;0.01059;48.722;1.27229e+10;
2;16384;16384;estimate;0.0107055;48.6875;1.27229e+10;
2;16384;16384;estimate;0.0105188;48.7435;1.27229e+10;
2;16384;16384;estimate;0.0105474;48.7343;1.27229e+10;
2;16384;16384;estimate;0.0106435;49.1779;1.27229e+10;
2;16384;16384;estimate;0.0107321;48.9054;1.27229e+10;
2;16384;16384;estimate;0.0106977;48.8307;1.27229e+10;
2;16384;16384;estimate;0.0104757;48.9659;1.27229e+10;
2;16384;16384;estimate;0.0105608;48.7097;1.27229e+10;
2;16384;16384;estimate;0.0107113;48.6288;1.27229e+10;
2;16384;16384;estimate;0.0106194;48.8671;1.27229e+10;
2;16384;16384;estimate;0.0107155;48.6421;1.27229e+10;
4;16384;16384;estimate;0.012994;26.2798;1.27229e+10;
4;16384;16384;estimate;0.0130607;26.3825;1.27229e+10;
4;16384;16384;estimate;0.0129046;26.2911;1.27229e+10;
4;16384;16384;estimate;0.0133344;26.4149;1.27229e+10;
4;16384;16384;estimate;0.0134058;26.252;1.27229e+10;
4;16384;16384;estimate;0.0131083;26.2609;1.27229e+10;
4;16384;16384;estimate;0.0131175;26.2706;1.27229e+10;
4;16384;16384;estimate;0.0130197;26.2911;1.27229e+10;
4;16384;16384;estimate;0.0128989;26.1411;1.27229e+10;
4;16384;16384;estimate;0.0132056;26.3301;1.27229e+10;
4;16384;16384;estimate;0.0133067;26.4023;1.27229e+10;
4;16384;16384;estimate;0.0129634;26.309;1.27229e+10;
4;16384;16384;estimate;0.0129823;26.3188;1.27229e+10;
4;16384;16384;estimate;0.0130891;26.3467;1.27229e+10;
4;16384;16384;estimate;0.0130388;26.3102;1.27229e+10;
4;16384;16384;estimate;0.0132591;26.2574;1.27229e+10;
4;16384;16384;estimate;0.0129152;26.2448;1.27229e+10;
4;16384;16384;estimate;0.0129508;26.3577;1.27229e+10;
4;16384;16384;estimate;0.012915;26.2551;1.27229e+10;
4;16384;16384;estimate;0.013128;26.1342;1.27229e+10;
4;16384;16384;estimate;0.0129254;26.1581;1.27229e+10;
4;16384;16384;estimate;0.0131634;26.2866;1.27229e+10;
4;16384;16384;estimate;0.0131088;26.1805;1.27229e+10;
4;16384;16384;estimate;0.012995;26.4456;1.27229e+10;
4;16384;16384;estimate;0.0129654;26.144;1.27229e+10;
4;16384;16384;estimate;0.0130497;26.2577;1.27229e+10;
4;16384;16384;estimate;0.013;26.1907;1.27229e+10;
4;16384;16384;estimate;0.0129919;26.2059;1.27229e+10;
4;16384;16384;estimate;0.0129732;26.2688;1.27229e+10;
4;16384;16384;estimate;0.0129638;26.3384;1.27229e+10;
4;16384;16384;estimate;0.0130143;26.3523;1.27229e+10;
4;16384;16384;estimate;0.0132435;26.3379;1.27229e+10;
4;16384;16384;estimate;0.0130053;26.337;1.27229e+10;
4;16384;16384;estimate;0.0132172;26.2477;1.27229e+10;
4;16384;16384;estimate;0.0129029;26.3011;1.27229e+10;
4;16384;16384;estimate;0.0128673;26.1815;1.27229e+10;
4;16384;16384;estimate;0.0130863;26.3499;1.27229e+10;
4;16384;16384;estimate;0.0129164;26.3514;1.27229e+10;
4;16384;16384;estimate;0.012947;26.2145;1.27229e+10;
4;16384;16384;estimate;0.0130149;26.2274;1.27229e+10;
4;16384;16384;estimate;0.0131182;26.2461;1.27229e+10;
4;16384;16384;estimate;0.012992;26.2193;1.27229e+10;
4;16384;16384;estimate;0.0131716;26.3322;1.27229e+10;
4;16384;16384;estimate;0.0129351;26.3776;1.27229e+10;
4;16384;16384;estimate;0.0129834;26.2967;1.27229e+10;
4;16384;16384;estimate;0.013085;26.2514;1.27229e+10;
4;16384;16384;estimate;0.0132092;26.3251;1.27229e+10;
4;16384;16384;estimate;0.0129058;26.2525;1.27229e+10;
4;16384;16384;estimate;0.0131839;26.2979;1.27229e+10;
4;16384;16384;estimate;0.0132777;26.3209;1.27229e+10;
8;16384;16384;estimate;0.0157335;10.7641;1.27229e+10;
8;16384;16384;estimate;0.0159764;10.9522;1.27229e+10;
8;16384;16384;estimate;0.0159203;10.5503;1.27229e+10;
8;16384;16384;estimate;0.015639;11.0299;1.27229e+10;
8;16384;16384;estimate;0.0157565;11.2401;1.27229e+10;
8;16384;16384;estimate;0.0164076;11.0832;1.27229e+10;
8;16384;16384;estimate;0.0157425;11.0974;1.27229e+10;
8;16384;16384;estimate;0.0161315;11.1261;1.27229e+10;
8;16384;16384;estimate;0.0159135;10.9597;1.27229e+10;
