n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
48;16384;16384;measure;scatter;3.71323;1.26402;2.44921;
48;16384;16384;measure;scatter;2.82085;1.28079;1.54007;
48;16384;16384;measure;scatter;3.34989;1.28594;2.06396;
48;16384;16384;measure;scatter;3.78873;1.27708;2.51164;
48;16384;16384;measure;scatter;2.56878;1.28558;1.2832;
48;16384;16384;measure;scatter;4.14198;1.28365;2.85833;
48;16384;16384;measure;scatter;3.52167;1.28438;2.23729;
48;16384;16384;measure;scatter;3.59752;1.30088;2.29665;
48;16384;16384;measure;scatter;3.20783;1.28892;1.91892;
48;16384;16384;measure;scatter;2.71628;1.29084;1.42544;
48;16384;16384;measure;scatter;2.50265;1.31181;1.19084;
48;16384;16384;measure;scatter;2.93479;1.28815;1.64664;
48;16384;16384;measure;scatter;3.80868;1.30095;2.50774;
48;16384;16384;measure;scatter;2.7352;1.29155;1.44366;
48;16384;16384;measure;scatter;3.70879;1.30015;2.40864;
48;16384;16384;measure;scatter;3.47332;1.28673;2.1866;
48;16384;16384;measure;scatter;3.58926;1.29821;2.29105;
48;16384;16384;measure;scatter;3.76111;1.28864;2.47247;
48;16384;16384;measure;scatter;2.47565;1.28889;1.18676;
48;16384;16384;measure;scatter;3.16746;1.29122;1.87624;
48;16384;16384;measure;scatter;3.61959;1.29394;2.32565;
48;16384;16384;measure;scatter;2.95075;1.30422;1.64653;
48;16384;16384;measure;scatter;2.7618;1.28375;1.47806;
48;16384;16384;measure;scatter;3.93236;1.28843;2.64393;
48;16384;16384;measure;scatter;3.93113;1.30219;2.62895;
48;16384;16384;measure;scatter;3.18853;1.283;1.90553;
48;16384;16384;measure;scatter;3.75776;1.3021;2.45566;
48;16384;16384;measure;scatter;2.80866;1.3041;1.50456;
48;16384;16384;measure;scatter;4.04458;1.29997;2.74462;
48;16384;16384;measure;scatter;4.02842;1.28776;2.74066;
48;16384;16384;measure;scatter;2.94433;1.29092;1.6534;
48;16384;16384;measure;scatter;2.92165;1.28554;1.63611;
48;16384;16384;measure;scatter;2.87173;1.28845;1.58328;
48;16384;16384;measure;scatter;2.46681;1.29149;1.17532;
48;16384;16384;measure;scatter;3.08185;1.29246;1.78938;
48;16384;16384;measure;scatter;2.66695;1.29499;1.37196;
48;16384;16384;measure;scatter;3.60302;1.28552;2.3175;
48;16384;16384;measure;scatter;3.9184;1.30014;2.61826;
48;16384;16384;measure;scatter;3.88277;1.29068;2.59208;
48;16384;16384;measure;scatter;3.0566;1.29237;1.76423;
48;16384;16384;measure;scatter;2.61331;1.29097;1.32234;
48;16384;16384;measure;scatter;3.2904;1.29376;1.99664;
48;16384;16384;measure;scatter;4.37175;1.29029;3.08146;
48;16384;16384;measure;scatter;3.2836;1.30219;1.98141;
48;16384;16384;measure;scatter;4.1721;1.2999;2.87221;
48;16384;16384;measure;scatter;3.97353;1.2846;2.68893;
48;16384;16384;measure;scatter;2.70049;1.30012;1.40038;
48;16384;16384;measure;scatter;3.82357;1.28637;2.5372;
48;16384;16384;measure;scatter;2.37387;1.16278;1.21109;
48;16384;16384;measure;scatter;2.1649;0.951825;1.21307;
48;16384;16384;measure;scatter;2.1763;0.957789;1.21851;
48;16384;16384;measure;scatter;2.18035;1.10064;1.07971;
48;16384;16384;measure;scatter;2.32943;1.09164;1.23779;
48;16384;16384;measure;scatter;2.23132;1.08813;1.14318;
48;16384;16384;measure;scatter;2.32697;1.07439;1.25258;
48;16384;16384;measure;scatter;2.17765;1.04998;1.12767;
48;16384;16384;measure;scatter;2.08464;1.03031;1.05432;
48;16384;16384;measure;scatter;2.18063;1.05921;1.12143;
48;16384;16384;measure;scatter;2.42604;1.08001;1.34603;
48;16384;16384;measure;scatter;2.32657;1.07431;1.25226;
48;16384;16384;measure;scatter;2.45389;1.09653;1.35736;
48;16384;16384;measure;scatter;2.00447;0.961499;1.04297;
48;16384;16384;measure;scatter;2.02221;0.959498;1.06271;
48;16384;16384;measure;scatter;2.28552;0.956036;1.32948;
48;16384;16384;measure;scatter;2.3027;1.09468;1.20802;
48;16384;16384;measure;scatter;2.28768;1.09818;1.1895;
48;16384;16384;measure;scatter;2.40289;1.09354;1.30934;
48;16384;16384;measure;scatter;1.92804;0.956274;0.971768;
48;16384;16384;measure;scatter;2.27407;1.09272;1.18134;
48;16384;16384;measure;scatter;2.48971;1.08531;1.4044;
48;16384;16384;measure;scatter;2.22958;1.08335;1.14623;
48;16384;16384;measure;scatter;1.98819;0.960106;1.02808;
48;16384;16384;measure;scatter;2.21568;1.09063;1.12504;
48;16384;16384;measure;scatter;2.25172;1.10458;1.14713;
48;16384;16384;measure;scatter;2.46759;1.08925;1.37834;
48;16384;16384;measure;scatter;2.20246;1.0916;1.11085;
48;16384;16384;measure;scatter;2.17386;1.09758;1.07628;
48;16384;16384;measure;scatter;2.15568;0.958031;1.19765;
48;16384;16384;measure;scatter;2.50596;1.07738;1.42858;
48;16384;16384;measure;scatter;2.03045;0.958367;1.07208;
48;16384;16384;measure;scatter;1.95473;0.954729;0.999998;
48;16384;16384;measure;scatter;1.93399;0.959107;0.974886;
48;16384;16384;measure;scatter;2.27378;1.0894;1.18438;
48;16384;16384;measure;scatter;2.53602;1.1093;1.42672;
48;16384;16384;measure;scatter;2.0576;1.10012;0.957476;
48;16384;16384;measure;scatter;2.06149;0.970026;1.09146;
48;16384;16384;measure;scatter;2.27256;1.094;1.17855;
48;16384;16384;measure;scatter;2.49956;1.08352;1.41604;
48;16384;16384;measure;scatter;2.70258;1.20078;1.5018;
48;16384;16384;measure;scatter;2.04062;0.960745;1.07988;
48;16384;16384;measure;scatter;2.26609;1.09235;1.17375;
48;16384;16384;measure;scatter;2.19493;0.960861;1.23407;
48;16384;16384;measure;scatter;2.17471;1.05566;1.11906;
48;16384;16384;measure;scatter;2.393;1.10035;1.29266;
48;16384;16384;measure;scatter;2.44083;1.09661;1.34422;
48;16384;16384;measure;scatter;2.35183;1.0865;1.26533;
48;16384;16384;measure;scatter;2.18276;1.06665;1.11611;
48;16384;16384;measure;scatter;2.12943;0.955828;1.1736;
48;16384;16384;measure;scatter;1.66044;0.933907;0.726529;
48;16384;16384;measure;scatter;1.67908;0.923237;0.755843;
48;16384;16384;measure;scatter;1.51936;0.91576;0.603596;
48;16384;16384;measure;scatter;1.56392;0.922276;0.64164;
48;16384;16384;measure;scatter;1.64795;0.93037;0.717585;
48;16384;16384;measure;scatter;1.56172;0.898866;0.662858;
48;16384;16384;measure;scatter;1.75473;0.927152;0.827577;
48;16384;16384;measure;scatter;2.04959;0.942036;1.10755;
48;16384;16384;measure;scatter;1.58699;0.921775;0.665213;
48;16384;16384;measure;scatter;1.63575;0.929278;0.706477;
