n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;1;512;512;estimate;0.00231796;0.00350548;
1;1;512;512;estimate;0.00233077;0.00351913;
1;1;512;512;estimate;0.00232921;0.00349693;
1;1;512;512;estimate;0.00235332;0.00350373;
1;1;512;512;estimate;0.00233337;0.00349794;
2;1;512;512;estimate;0.0046641;0.0045386;
2;1;512;512;estimate;0.00499857;0.00424666;
2;1;512;512;estimate;0.00426758;0.00483264;
2;1;512;512;estimate;0.00464877;0.00392958;
2;1;512;512;estimate;0.00466496;0.00448641;
4;1;512;512;estimate;0.00501212;0.00251237;
4;1;512;512;estimate;0.00495211;0.00243415;
4;1;512;512;estimate;0.00506372;0.00254327;
4;1;512;512;estimate;0.00475315;0.00209829;
4;1;512;512;estimate;0.00496386;0.00197306;
8;1;512;512;estimate;0.00673829;0.00184284;
8;1;512;512;estimate;0.00517931;0.00180177;
8;1;512;512;estimate;0.00525692;0.00184579;
8;1;512;512;estimate;0.0061321;0.00185033;
8;1;512;512;estimate;0.00736932;0.00188247;
16;1;512;512;estimate;0.00873832;0.00141639;
16;1;512;512;estimate;0.00828531;0.00128867;
16;1;512;512;estimate;0.00898295;0.0011837;
16;1;512;512;estimate;0.00771967;0.00136888;
16;1;512;512;estimate;0.00908553;0.00121763;
32;1;512;512;estimate;0.0109638;0.00108738;
32;1;512;512;estimate;0.0107848;0.00115199;
32;1;512;512;estimate;0.0111422;0.00119491;
32;1;512;512;estimate;0.0114246;0.00127576;
32;1;512;512;estimate;0.0112818;0.00159769;
64;1;512;512;estimate;0.011981;0.00241994;
64;1;512;512;estimate;0.0118798;0.0027439;
64;1;512;512;estimate;0.0118636;0.00348366;
64;1;512;512;estimate;0.0118004;0.00223369;
64;1;512;512;estimate;0.0121852;0.00266059;
128;1;512;512;estimate;0.0141116;0.0160164;
128;1;512;512;estimate;0.0146035;0.0153425;
128;1;512;512;estimate;0.0143742;0.0146636;
128;1;512;512;estimate;0.0144325;0.0125799;
128;1;512;512;estimate;0.0125119;0.0143309;
