n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;1024;1024;estimate;0.141589;0.00562186;0.135967;
1;1024;1024;estimate;0.140547;0.00529818;0.135249;
1;1024;1024;estimate;0.139555;0.00519163;0.134363;
1;1024;1024;estimate;0.140231;0.00514232;0.135089;
1;1024;1024;estimate;0.135772;0.0052697;0.130502;
2;1024;1024;estimate;0.117789;0.0048268;0.112963;
2;1024;1024;estimate;0.115435;0.00477039;0.110664;
2;1024;1024;estimate;0.108571;0.00484754;0.103723;
2;1024;1024;estimate;0.111303;0.00484666;0.106456;
2;1024;1024;estimate;0.114566;0.00485073;0.109716;
4;1024;1024;estimate;0.111749;0.00490326;0.106845;
4;1024;1024;estimate;0.112762;0.00491892;0.107843;
4;1024;1024;estimate;0.114845;0.00485799;0.109987;
4;1024;1024;estimate;0.115193;0.00489705;0.110296;
4;1024;1024;estimate;0.115257;0.00478787;0.110469;
8;1024;1024;estimate;0.127204;0.00512663;0.122077;
8;1024;1024;estimate;0.120489;0.00535843;0.115131;
8;1024;1024;estimate;0.125442;0.00496132;0.120481;
8;1024;1024;estimate;0.124668;0.00515763;0.119511;
8;1024;1024;estimate;0.124052;0.00506514;0.118987;
16;1024;1024;estimate;0.114938;0.00513484;0.109804;
16;1024;1024;estimate;0.119654;0.00563164;0.114023;
16;1024;1024;estimate;0.116491;0.00607659;0.110415;
16;1024;1024;estimate;0.119813;0.00542137;0.114391;
16;1024;1024;estimate;0.115272;0.00701885;0.108253;
32;1024;1024;estimate;0.125913;0.0053874;0.120525;
32;1024;1024;estimate;0.119828;0.00629622;0.113532;
32;1024;1024;estimate;0.120869;0.00541464;0.115454;
32;1024;1024;estimate;0.125361;0.00686363;0.118497;
32;1024;1024;estimate;0.123816;0.00560105;0.118215;
64;1024;1024;estimate;0.126235;0.00606303;0.120172;
64;1024;1024;estimate;0.12958;0.0062264;0.123353;
64;1024;1024;estimate;0.130507;0.00627521;0.124232;
64;1024;1024;estimate;0.129014;0.00614412;0.12287;
64;1024;1024;estimate;0.129176;0.00643516;0.12274;
128;1024;1024;estimate;0.144281;0.00681479;0.137466;
128;1024;1024;estimate;0.144109;0.00749554;0.136613;
128;1024;1024;estimate;0.146494;0.00676307;0.139731;
128;1024;1024;estimate;0.148029;0.00669535;0.141334;
128;1024;1024;estimate;0.14385;0.00665961;0.137191;
256;1024;1024;estimate;0.177364;0.00998661;0.167378;
256;1024;1024;estimate;0.178289;0.0108945;0.167394;
256;1024;1024;estimate;0.177512;0.0103097;0.167202;
256;1024;1024;estimate;0.176704;0.0101514;0.166553;
256;1024;1024;estimate;0.175377;0.0109153;0.164462;
