n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;1;1024;1024;estimate;0.00292219;0.00851549;
1;1;1024;1024;estimate;0.00308596;0.00833157;
1;1;1024;1024;estimate;0.00312162;0.00939085;
1;1;1024;1024;estimate;0.00310758;0.00941703;
1;1;1024;1024;estimate;0.00307659;0.00830514;
2;1;1024;1024;estimate;0.00398511;0.0124706;
2;1;1024;1024;estimate;0.00504173;0.0113274;
2;1;1024;1024;estimate;0.00513043;0.0111364;
2;1;1024;1024;estimate;0.00553603;0.0110199;
2;1;1024;1024;estimate;0.00436955;0.0125267;
4;1;1024;1024;estimate;0.00567452;0.00996942;
4;1;1024;1024;estimate;0.00617943;0.00970089;
4;1;1024;1024;estimate;0.00596481;0.0100367;
4;1;1024;1024;estimate;0.00610718;0.008206;
4;1;1024;1024;estimate;0.00552848;0.009569;
8;1;1024;1024;estimate;0.00743837;0.00704057;
8;1;1024;1024;estimate;0.00724774;0.00647679;
8;1;1024;1024;estimate;0.00799965;0.00700798;
8;1;1024;1024;estimate;0.00651068;0.00607109;
8;1;1024;1024;estimate;0.00644922;0.00531006;
16;1;1024;1024;estimate;0.00794607;0.00496396;
16;1;1024;1024;estimate;0.00661629;0.00421047;
16;1;1024;1024;estimate;0.0082647;0.00483441;
16;1;1024;1024;estimate;0.00816849;0.00440435;
16;1;1024;1024;estimate;0.00706148;0.0047399;
32;1;1024;1024;estimate;0.00851217;0.00280606;
32;1;1024;1024;estimate;0.00848549;0.00289412;
32;1;1024;1024;estimate;0.00849537;0.00321556;
32;1;1024;1024;estimate;0.00839252;0.00290486;
32;1;1024;1024;estimate;0.00869901;0.00340835;
64;1;1024;1024;estimate;0.0145399;0.00290841;
64;1;1024;1024;estimate;0.0125193;0.00313251;
64;1;1024;1024;estimate;0.0123691;0.00327066;
64;1;1024;1024;estimate;0.0122687;0.00349821;
64;1;1024;1024;estimate;0.0121577;0.00343405;
128;1;1024;1024;estimate;0.0156632;0.0125542;
128;1;1024;1024;estimate;0.0154124;0.00768151;
128;1;1024;1024;estimate;0.0158811;0.00761131;
128;1;1024;1024;estimate;0.0159486;0.00783214;
128;1;1024;1024;estimate;0.0168944;0.0106496;
