n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;1024;1024;estimate;0.0793399;0.00645029;0.0728837;0.0365365;0.00669591;0.0204498;0.00920148;
1;1024;1024;estimate;0.0774395;0.00543161;0.0720018;0.0363129;0.00634101;0.0202871;0.00906084;
1;1024;1024;estimate;0.0769606;0.00537955;0.0715744;0.0363377;0.00622265;0.0203318;0.00868228;
1;1024;1024;estimate;0.0759904;0.00527041;0.0707127;0.036041;0.00600195;0.020003;0.00866685;
1;1024;1024;estimate;0.0764678;0.00530632;0.0711551;0.0362669;0.00608416;0.0202601;0.00854381;
2;1024;1024;estimate;0.0289385;0.00515103;0.0237819;0.0107197;0.00344824;0.00548633;0.0041277;
2;1024;1024;estimate;0.0289629;0.00530876;0.0236493;0.0106859;0.00338517;0.00545218;0.00412612;
2;1024;1024;estimate;0.0291224;0.00523589;0.02388;0.010793;0.00347219;0.00543582;0.004179;
2;1024;1024;estimate;0.029063;0.00526244;0.0237958;0.0107195;0.00350063;0.00551307;0.00406253;
2;1024;1024;estimate;0.029186;0.00529948;0.0238818;0.0106946;0.00364773;0.0054151;0.00412428;
4;1024;1024;estimate;0.0210192;0.00526078;0.015753;0.00672217;0.00264472;0.00348181;0.00290434;
4;1024;1024;estimate;0.021024;0.00515481;0.0158652;0.00678593;0.00277142;0.00350991;0.00279795;
4;1024;1024;estimate;0.0208122;0.00520028;0.0156072;0.00674519;0.0026574;0.00351007;0.00269454;
4;1024;1024;estimate;0.0208013;0.00520708;0.0155894;0.00666487;0.00280028;0.0033971;0.00272717;
4;1024;1024;estimate;0.0206622;0.00518246;0.015474;0.00659342;0.00270276;0.00338038;0.00279742;
8;1024;1024;estimate;0.0267683;0.0069565;0.019807;0.00862021;0.00315469;0.00359707;0.00443501;
8;1024;1024;estimate;0.0248631;0.00743886;0.0174198;0.00807607;0.00289716;0.00361349;0.0028331;
8;1024;1024;estimate;0.0240199;0.0058155;0.0182;0.00873541;0.00281259;0.00372602;0.00292598;
8;1024;1024;estimate;0.0253315;0.00697472;0.0183524;0.00879081;0.00291454;0.00367804;0.00296897;
8;1024;1024;estimate;0.0237964;0.00552544;0.0182661;0.00880173;0.00286864;0.0035603;0.00303543;
16;1024;1024;estimate;0.0310772;0.00524723;0.0258252;0.0110659;0.00467141;0.00551002;0.00457787;
16;1024;1024;estimate;0.0279492;0.00566179;0.0222838;0.0108958;0.00446438;0.00402858;0.00289513;
16;1024;1024;estimate;0.0305855;0.00545394;0.0251271;0.0121498;0.00472113;0.00519527;0.00306097;
16;1024;1024;estimate;0.0293788;0.00639002;0.0229841;0.0110717;0.00464085;0.00438657;0.00288506;
16;1024;1024;estimate;0.0308478;0.0065558;0.0242881;0.0110898;0.00451821;0.00503168;0.0036484;
32;1024;1024;estimate;0.0409204;0.00560055;0.0353155;0.0123757;0.00595775;0.0110433;0.00593879;
32;1024;1024;estimate;0.0416491;0.00562777;0.0360166;0.0130549;0.00552932;0.0110954;0.00633698;
32;1024;1024;estimate;0.0405244;0.0059467;0.0345745;0.0124137;0.00515469;0.0108461;0.00616;
32;1024;1024;estimate;0.0412424;0.00576416;0.0354739;0.0126107;0.00546492;0.0110941;0.00630429;
32;1024;1024;estimate;0.0408231;0.00664141;0.034178;0.0128575;0.00548352;0.0102381;0.0055989;
64;1024;1024;estimate;0.0446453;0.00665397;0.0379872;0.0128128;0.00601162;0.0126721;0.00649061;
64;1024;1024;estimate;0.0433013;0.00634684;0.0369515;0.01333;0.00670819;0.0113717;0.00554158;
64;1024;1024;estimate;0.0435359;0.00644577;0.0370855;0.012478;0.00546907;0.0127395;0.00639891;
64;1024;1024;estimate;0.0437731;0.00627111;0.0374971;0.0126786;0.00649073;0.0119963;0.00633146;
64;1024;1024;estimate;0.0434056;0.0062829;0.0371194;0.0120239;0.00662834;0.0128641;0.00560307;
128;1024;1024;estimate;0.0461954;0.00677003;0.0394217;0.00820529;0.00550184;0.017704;0.00801056;
128;1024;1024;estimate;0.0458928;0.00667168;0.0392178;0.00813341;0.00546322;0.0187201;0.00690102;
128;1024;1024;estimate;0.0472425;0.00681167;0.0404269;0.00824207;0.00560832;0.0187494;0.00782713;
128;1024;1024;estimate;0.0448325;0.00682286;0.0380072;0.00825055;0.00530282;0.0182102;0.00624355;
128;1024;1024;estimate;0.0473231;0.00681512;0.0405038;0.00834967;0.00528993;0.0198322;0.007032;
256;1024;1024;estimate;0.0389598;0.010435;0.028521;0.0120843;0.00535381;0.00578121;0.00530169;
256;1024;1024;estimate;0.0375733;0.00969962;0.0278702;0.0114902;0.00532483;0.00581383;0.00524129;
256;1024;1024;estimate;0.0392111;0.0106172;0.0285906;0.0120746;0.00536112;0.00582305;0.00533181;
256;1024;1024;estimate;0.0377497;0.00953215;0.0282131;0.0117642;0.00541265;0.00566109;0.00537515;
256;1024;1024;estimate;0.0385093;0.0100855;0.0284202;0.0116404;0.00556986;0.00579372;0.00541616;
