n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;16;16384;16384;estimate;0.00705177;5.031;
1;16;16384;16384;estimate;0.00705089;4.99657;
1;16;16384;16384;estimate;0.00706142;5.02367;
1;16;16384;16384;estimate;0.00687698;5.00748;
1;16;16384;16384;estimate;0.00700046;5.02156;
2;16;16384;16384;estimate;0.00790871;6.34489;
2;16;16384;16384;estimate;0.00818844;6.65561;
2;16;16384;16384;estimate;0.00797629;6.36985;
2;16;16384;16384;estimate;0.00803183;6.44761;
2;16;16384;16384;estimate;0.00793071;6.36128;
4;16;16384;16384;estimate;0.0431373;4.3585;
4;16;16384;16384;estimate;0.0431175;4.22284;
4;16;16384;16384;estimate;0.0328331;4.27867;
4;16;16384;16384;estimate;0.163436;4.35561;
4;16;16384;16384;estimate;0.0351261;4.27291;
8;16;16384;16384;estimate;0.0131795;2.34423;
8;16;16384;16384;estimate;0.0131086;2.38904;
8;16;16384;16384;estimate;0.0235263;2.35256;
8;16;16384;16384;estimate;0.0138596;2.39456;
8;16;16384;16384;estimate;0.0223322;2.34708;
16;16;16384;16384;estimate;0.139444;1.75354;
16;16;16384;16384;estimate;0.132187;1.63289;
16;16;16384;16384;estimate;0.0887801;1.63165;
16;16;16384;16384;estimate;0.0161002;1.66116;
16;16;16384;16384;estimate;0.016208;1.51328;
