n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;16384;16384;estimate;11.4423;0.512518;10.9298;
1;16384;16384;estimate;11.4221;0.466311;10.9558;
1;16384;16384;estimate;11.3624;0.465833;10.8966;
1;16384;16384;estimate;11.3351;0.466528;10.8685;
1;16384;16384;estimate;11.314;0.465694;10.8483;
2;16384;16384;estimate;6.23119;0.464891;5.7663;
2;16384;16384;estimate;6.2261;0.464789;5.76131;
2;16384;16384;estimate;6.18206;0.465681;5.71637;
2;16384;16384;estimate;6.31451;0.466467;5.84804;
2;16384;16384;estimate;6.16541;0.467211;5.69819;
4;16384;16384;estimate;3.4635;0.464877;2.99862;
4;16384;16384;estimate;3.47137;0.466059;3.00531;
4;16384;16384;estimate;3.46166;0.465717;2.99595;
4;16384;16384;estimate;3.4831;0.467573;3.01553;
4;16384;16384;estimate;3.45299;0.466767;2.98623;
8;16384;16384;estimate;2.29554;0.46613;1.82941;
8;16384;16384;estimate;2.30433;0.465627;1.8387;
8;16384;16384;estimate;2.30129;0.465498;1.83579;
8;16384;16384;estimate;2.28806;0.464581;1.82348;
8;16384;16384;estimate;2.30525;0.467692;1.83756;
16;16384;16384;estimate;1.57336;0.463875;1.10948;
16;16384;16384;estimate;1.583;0.466521;1.11648;
16;16384;16384;estimate;1.57437;0.468874;1.10549;
16;16384;16384;estimate;1.59261;0.469839;1.12277;
16;16384;16384;estimate;1.59018;0.468739;1.12144;
32;16384;16384;estimate;1.48887;0.469596;1.01928;
32;16384;16384;estimate;1.47597;0.472983;1.00299;
32;16384;16384;estimate;1.47811;0.4744;1.00371;
32;16384;16384;estimate;1.48038;0.470478;1.0099;
32;16384;16384;estimate;1.48243;0.474581;1.00785;
64;16384;16384;estimate;1.60876;0.51247;1.09629;
64;16384;16384;estimate;1.59184;0.510117;1.08172;
64;16384;16384;estimate;1.61943;0.508995;1.11043;
64;16384;16384;estimate;1.60478;0.507471;1.0973;
64;16384;16384;estimate;1.59735;0.507242;1.09011;
128;16384;16384;estimate;2.1809;0.50883;1.67207;
128;16384;16384;estimate;2.13171;0.534343;1.59737;
128;16384;16384;estimate;2.13389;0.522906;1.61098;
128;16384;16384;estimate;2.13123;0.526779;1.60445;
128;16384;16384;estimate;2.1559;0.54242;1.61348;
256;16384;16384;estimate;3.41012;0.794504;2.61562;
256;16384;16384;estimate;3.59047;0.777488;2.81298;
256;16384;16384;estimate;3.59262;0.822322;2.7703;
256;16384;16384;estimate;3.47533;0.797447;2.67788;
256;16384;16384;estimate;3.54983;0.809951;2.73988;
