n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
2;16384;16384;estimate;4.06218;0.419728;3.64244;1.2912;0.725182;0.91231;0.71375;
2;16384;16384;estimate;4.08457;0.419547;3.66501;1.28412;0.7381;0.91498;0.727812;
2;16384;16384;estimate;4.08626;0.419787;3.66647;1.28545;0.73748;0.916817;0.726723;
2;16384;16384;estimate;4.05294;0.417712;3.63522;1.2863;0.724129;0.911271;0.713528;
2;16384;16384;estimate;4.08518;0.41941;3.66576;1.28328;0.73956;0.913972;0.728945;
2;16384;16384;estimate;4.07839;0.417289;3.6611;1.28401;0.738157;0.911459;0.727474;
2;16384;16384;estimate;4.08363;0.41857;3.66505;1.28392;0.738772;0.913573;0.728789;
2;16384;16384;estimate;4.07374;0.417914;3.65582;1.28185;0.738207;0.908171;0.727592;
2;16384;16384;estimate;4.08247;0.419442;3.66302;1.282;0.73779;0.915022;0.728209;
2;16384;16384;estimate;4.08003;0.417769;3.66225;1.28494;0.737566;0.912589;0.727154;
2;16384;16384;estimate;4.08766;0.41959;3.66806;1.28947;0.738318;0.912971;0.727302;
2;16384;16384;estimate;4.08128;0.419651;3.66161;1.28345;0.73778;0.913402;0.72698;
2;16384;16384;estimate;4.08518;0.419643;3.66553;1.28111;0.738723;0.91948;0.726219;
2;16384;16384;estimate;4.08341;0.417698;3.6657;1.28742;0.738458;0.912106;0.727721;
2;16384;16384;estimate;4.07831;0.418231;3.66007;1.28392;0.738588;0.909052;0.728514;
2;16384;16384;estimate;4.05156;0.418106;3.63345;1.2833;0.723648;0.914453;0.712045;
2;16384;16384;estimate;4.08238;0.418419;3.66395;1.28504;0.738561;0.91286;0.72749;
2;16384;16384;estimate;4.0852;0.417924;3.66727;1.28586;0.740562;0.913549;0.727297;
2;16384;16384;estimate;4.08653;0.420446;3.66608;1.28629;0.738241;0.914056;0.727494;
2;16384;16384;estimate;4.09924;0.426263;3.67297;1.28909;0.737532;0.918079;0.728269;
2;16384;16384;estimate;4.058;0.419539;3.63845;1.28702;0.723729;0.914449;0.713253;
2;16384;16384;estimate;4.10217;0.420319;3.68185;1.28566;0.739245;0.929596;0.727344;
2;16384;16384;estimate;4.07441;0.419159;3.65524;1.278;0.737254;0.913997;0.725989;
2;16384;16384;estimate;4.07998;0.419183;3.66079;1.28292;0.738292;0.912708;0.726865;
2;16384;16384;estimate;4.09596;0.419461;3.67649;1.29101;0.737908;0.919472;0.728104;
2;16384;16384;estimate;4.08309;0.419606;3.66348;1.28803;0.739095;0.909955;0.726394;
2;16384;16384;estimate;4.0819;0.41885;3.66304;1.28618;0.737387;0.912337;0.727142;
2;16384;16384;estimate;4.05257;0.417949;3.63461;1.28287;0.724677;0.912963;0.7141;
2;16384;16384;estimate;4.07914;0.419499;3.65964;1.28292;0.737051;0.912029;0.727632;
2;16384;16384;estimate;4.08426;0.420131;3.66412;1.28418;0.737195;0.915176;0.727571;
2;16384;16384;estimate;4.08656;0.417863;3.66869;1.29091;0.737747;0.912504;0.72753;
2;16384;16384;estimate;4.07845;0.417933;3.66051;1.28559;0.738538;0.908011;0.728376;
2;16384;16384;estimate;4.08578;0.419997;3.66577;1.28757;0.738969;0.91134;0.72789;
2;16384;16384;estimate;4.08657;0.419335;3.66722;1.28946;0.73945;0.911218;0.727093;
2;16384;16384;estimate;4.08005;0.419633;3.66041;1.28157;0.737825;0.913426;0.727594;
2;16384;16384;estimate;4.08971;0.419077;3.67062;1.28567;0.738326;0.916577;0.730047;
2;16384;16384;estimate;4.08159;0.419487;3.6621;1.28361;0.738838;0.912238;0.727406;
2;16384;16384;estimate;4.05402;0.419269;3.63475;1.2849;0.723202;0.913111;0.713529;
2;16384;16384;estimate;4.05723;0.419672;3.63755;1.28503;0.724162;0.915131;0.713233;
2;16384;16384;estimate;4.05024;0.418803;3.63143;1.28216;0.724696;0.910001;0.714578;
2;16384;16384;estimate;4.06721;0.419372;3.64783;1.28447;0.730503;0.913095;0.719759;
2;16384;16384;estimate;4.08576;0.41962;3.66613;1.28756;0.737898;0.912761;0.727906;
