n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;16384;16384;estimate;21.5542;0.455009;21.0992;
1;16384;16384;estimate;21.8073;0.456153;21.3511;
1;16384;16384;estimate;21.7909;0.439541;21.3514;
1;16384;16384;estimate;21.7783;0.439549;21.3387;
1;16384;16384;estimate;21.7753;0.439846;21.3355;
2;16384;16384;estimate;11.8942;0.439768;11.4544;
2;16384;16384;estimate;12.0149;0.439514;11.5754;
2;16384;16384;estimate;12.0379;0.440613;11.5973;
2;16384;16384;estimate;12.2852;0.438991;11.8462;
2;16384;16384;estimate;11.9111;0.440234;11.4709;
4;16384;16384;estimate;5.96175;0.441259;5.52049;
4;16384;16384;estimate;5.96079;0.439971;5.52082;
4;16384;16384;estimate;5.96074;0.439246;5.5215;
4;16384;16384;estimate;5.94496;0.441616;5.50334;
4;16384;16384;estimate;5.94118;0.43985;5.50133;
8;16384;16384;estimate;3.40183;0.441072;2.96076;
8;16384;16384;estimate;3.39448;0.440319;2.95416;
8;16384;16384;estimate;3.3997;0.441784;2.95792;
8;16384;16384;estimate;3.3924;0.441946;2.95046;
8;16384;16384;estimate;3.3997;0.441941;2.95776;
16;16384;16384;estimate;2.1372;0.439717;1.69748;
16;16384;16384;estimate;2.08696;0.444879;1.64209;
16;16384;16384;estimate;2.08815;0.441018;1.64714;
16;16384;16384;estimate;2.09012;0.44292;1.6472;
16;16384;16384;estimate;2.07032;0.443741;1.62658;
32;16384;16384;estimate;1.6122;0.44383;1.16837;
32;16384;16384;estimate;1.5792;0.446318;1.13288;
32;16384;16384;estimate;1.60635;0.451662;1.15469;
32;16384;16384;estimate;1.58345;0.451771;1.13168;
32;16384;16384;estimate;1.58695;0.447495;1.13945;
64;16384;16384;estimate;1.59856;0.48811;1.11045;
64;16384;16384;estimate;1.61455;0.490097;1.12446;
64;16384;16384;estimate;1.62466;0.491933;1.13272;
64;16384;16384;estimate;1.6137;0.490752;1.12295;
64;16384;16384;estimate;1.61251;0.488114;1.1244;
128;16384;16384;estimate;2.06728;0.480563;1.58672;
128;16384;16384;estimate;2.05544;0.491107;1.56434;
128;16384;16384;estimate;2.05042;0.483333;1.56709;
128;16384;16384;estimate;2.06464;0.490635;1.574;
128;16384;16384;estimate;2.0666;0.500831;1.56577;
