n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
2;1;16384;16384;estimate;0.00363273;4.24969;0;
2;1;16384;16384;estimate;0.00358537;4.3556;0;
2;1;16384;16384;estimate;0.00364262;4.25163;0;
2;1;16384;16384;estimate;0.00366985;4.24639;0;
2;1;16384;16384;estimate;0.00363405;4.25313;0;
2;1;16384;16384;estimate;0.00362069;4.26051;0;
2;1;16384;16384;estimate;0.00369192;4.25826;0;
2;1;16384;16384;estimate;0.00362243;4.25583;0;
2;1;16384;16384;estimate;0.00370318;4.25126;0;
2;1;16384;16384;estimate;0.00363318;4.23869;0;
2;1;16384;16384;estimate;0.00360995;4.26552;0;
2;1;16384;16384;estimate;0.00360036;4.26591;0;
2;1;16384;16384;estimate;0.00361673;4.26156;0;
4;1;16384;16384;estimate;0.00385696;2.4628;0;
4;1;16384;16384;estimate;0.00398273;2.47646;0;
4;1;16384;16384;estimate;0.00380823;2.90038;0;
4;1;16384;16384;estimate;0.00404155;2.3697;0;
4;1;16384;16384;estimate;0.00403077;2.35763;0;
4;1;16384;16384;estimate;0.00375063;2.43324;0;
4;1;16384;16384;estimate;0.00376245;2.40288;0;
4;1;16384;16384;estimate;0.00380008;2.33391;0;
4;1;16384;16384;estimate;0.00411901;2.37685;0;
4;1;16384;16384;estimate;0.00402008;2.37453;0;
4;1;16384;16384;estimate;0.00403455;2.3807;0;
4;1;16384;16384;estimate;0.00377334;2.39566;0;
4;1;16384;16384;estimate;0.00832629;2.43949;0;
4;1;16384;16384;estimate;0.00405646;2.36948;0;
4;1;16384;16384;estimate;0.00392132;2.3959;0;
4;1;16384;16384;estimate;0.00379956;2.47321;0;
4;1;16384;16384;estimate;0.00380862;2.37616;0;
4;1;16384;16384;estimate;0.00400648;2.3771;0;
4;1;16384;16384;estimate;0.00394828;2.36848;0;
4;1;16384;16384;estimate;0.00408907;2.36934;0;
4;1;16384;16384;estimate;0.00400968;2.40185;0;
4;1;16384;16384;estimate;0.00399221;2.37391;0;
4;1;16384;16384;estimate;0.00392967;2.4514;0;
4;1;16384;16384;estimate;0.00377016;2.3848;0;
4;1;16384;16384;estimate;0.00770542;2.34073;0;
4;1;16384;16384;estimate;0.00380677;2.41982;0;
4;1;16384;16384;estimate;0.00406732;2.43394;0;
4;1;16384;16384;estimate;0.00398601;2.40903;0;
4;1;16384;16384;estimate;0.00407124;2.41593;0;
4;1;16384;16384;estimate;0.00381153;2.45753;0;
4;1;16384;16384;estimate;0.00402078;2.42963;0;
4;1;16384;16384;estimate;0.00377885;2.41896;0;
4;1;16384;16384;estimate;0.00398673;2.93086;0;
4;1;16384;16384;estimate;0.00401277;2.47016;0;
4;1;16384;16384;estimate;0.00387167;2.3564;0;
4;1;16384;16384;estimate;0.00381028;2.38048;0;
4;1;16384;16384;estimate;0.00389957;2.40951;0;
4;1;16384;16384;estimate;0.00399818;2.35953;0;
4;1;16384;16384;estimate;0.00385874;2.39866;0;
4;1;16384;16384;estimate;0.00417007;2.40781;0;
4;1;16384;16384;estimate;0.00382115;2.44508;0;
4;1;16384;16384;estimate;0.00384825;2.36033;0;
4;1;16384;16384;estimate;0.00370441;2.36774;0;
4;1;16384;16384;estimate;0.00381623;2.34784;0;
4;1;16384;16384;estimate;0.0038956;2.38446;0;
4;1;16384;16384;estimate;0.00394945;2.43409;0;
4;1;16384;16384;estimate;0.00377299;2.34496;0;
4;1;16384;16384;estimate;0.00382097;2.42266;0;
4;1;16384;16384;estimate;0.00401698;2.38822;0;
4;1;16384;16384;estimate;0.00402484;2.37286;0;
8;1;16384;16384;estimate;0.00607428;1.29543;0;
8;1;16384;16384;estimate;0.0041837;1.29637;0;
8;1;16384;16384;estimate;0.00646288;1.31157;0;
8;1;16384;16384;estimate;0.0059786;1.31158;0;
8;1;16384;16384;estimate;0.00468339;1.26854;0;
8;1;16384;16384;estimate;0.00476942;1.3423;0;
8;1;16384;16384;estimate;0.00481772;1.30893;0;
8;1;16384;16384;estimate;0.00392213;1.30417;0;
8;1;16384;16384;estimate;0.00599977;1.32507;0;
8;1;16384;16384;estimate;0.004615;1.29573;0;
8;1;16384;16384;estimate;0.00582253;1.31764;0;
8;1;16384;16384;estimate;0.00448234;1.31309;0;
8;1;16384;16384;estimate;0.00588686;1.30088;0;
8;1;16384;16384;estimate;0.00584258;1.28252;0;
8;1;16384;16384;estimate;0.00439571;1.29635;0;
8;1;16384;16384;estimate;0.0042309;1.28704;0;
8;1;16384;16384;estimate;0.00431326;1.31326;0;
8;1;16384;16384;estimate;0.00588963;1.30534;0;
8;1;16384;16384;estimate;0.00424999;1.30121;0;
8;1;16384;16384;estimate;0.00546389;1.3023;0;
8;1;16384;16384;estimate;0.00440877;1.31364;0;
8;1;16384;16384;estimate;0.00603636;1.29303;0;
8;1;16384;16384;estimate;0.00572305;1.286;0;
8;1;16384;16384;estimate;0.00427788;1.3096;0;
8;1;16384;16384;estimate;0.00598989;1.31322;0;
8;1;16384;16384;estimate;0.00608126;1.3071;0;
8;1;16384;16384;estimate;0.00563361;1.33344;0;
8;1;16384;16384;estimate;0.00456037;1.31167;0;
8;1;16384;16384;estimate;0.0042473;1.30392;0;
8;1;16384;16384;estimate;0.00459285;1.30798;0;
8;1;16384;16384;estimate;0.0058817;1.31284;0;
8;1;16384;16384;estimate;0.00479946;1.32413;0;
8;1;16384;16384;estimate;0.00602071;1.32868;0;
8;1;16384;16384;estimate;0.00559861;1.32197;0;
8;1;16384;16384;estimate;0.00477464;1.3028;0;
8;1;16384;16384;estimate;0.00552053;1.31217;0;
8;1;16384;16384;estimate;0.00459017;1.29541;0;
8;1;16384;16384;estimate;0.00596929;1.32228;0;
8;1;16384;16384;estimate;0.00586784;1.32587;0;
8;1;16384;16384;estimate;0.00396991;1.29032;0;
8;1;16384;16384;estimate;0.00587261;1.29565;0;
8;1;16384;16384;estimate;0.00584217;1.30915;0;
8;1;16384;16384;estimate;0.00561292;1.3077;0;
8;1;16384;16384;estimate;0.00578263;1.31093;0;
8;1;16384;16384;estimate;0.00503698;1.29445;0;
8;1;16384;16384;estimate;0.00444548;1.29305;0;
8;1;16384;16384;estimate;0.00572721;1.31121;0;
